display_name,system_name,Description,value_data_type
Wattage,Wattage_Pathway_Lights,Wattage,numeric
Wattage,Wattage_Pendant_Lights,Wattage,numeric
Wattage,Wattage_Post_Lights,Wattage,numeric
Wattage,Wattage_Recessed_Lighting,Wattage,numeric
Wattage,Wattage_RGB_LED_Strips,Wattage,numeric
Wattage,Wattage_Security_Lights,Wattage,numeric
Wattage,Wattage_Spotlight_Tracks,Wattage,numeric
Wattage,Wattage_Strip_Lights,Wattage,numeric
Wattage,Wattage_Table_Lamps,Wattage,numeric
Wattage,Wattage_Task_Lamps,Wattage,numeric
Wattage,Wattage_Track_Lighting,Wattage,numeric
Wattage,Wattage_Track_Lighting_Systems,Wattage,numeric
Wattage,Wattage_Under-Cabinet_Lighting,Wattage,numeric
Wattage,Wattage_Wall_Sconces,Wattage,numeric
Wattage,Wattage_Waterproof_LED_Strips,Wattage,numeric
Weatherproofing,Weatherproofing_Deck_Lights,Weatherproofing,text
Weatherproofing,Weatherproofing_Floodlights,Weatherproofing,text
Weatherproofing,Weatherproofing_Landscape_Lighting,Weatherproofing,text
Weatherproofing,Weatherproofing_Pathway_Lights,Weatherproofing,text
Weatherproofing,Weatherproofing_Post_Lights,Weatherproofing,text
Weatherproofing,Weatherproofing_Security_Lights,Weatherproofing,text
Weatherproofing,Weatherproofing_Weatherproof_Outlets,Weatherproofing,text
Wire Gauge Compatibility,WireGaugeCompatibility_Wire_Connectors,Wire Gauge Compatibility,text
